No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
24,Material,Support dynamic colors,Material You dynamic theming,dynamicColorScheme for Android 12+,Static colors only,dynamicLightColorScheme(context),Fixed color scheme,Low,
25,Side Effects,Use LaunchedEffect correctly,Run suspend functions in composable,LaunchedEffect for coroutines,Unmanaged coroutines,LaunchedEffect(key) { },GlobalScope.launch in composable,High,https://developer.android.com/jetpack/compose/side-effects#launchedeffect
26,Side Effects,Use DisposableEffect for cleanup,Register and unregister listeners,DisposableEffect for lifecycle,No cleanup for listeners,DisposableEffect(key) { onDispose { } },No cleanup in composable,High,
27,Side Effects,Use rememberCoroutineScope,Launch coroutines from events,rememberCoroutineScope for event handlers,LaunchedEffect for button clicks,val scope = rememberCoroutineScope(),LaunchedEffect in onClick,Medium,
28,Side Effects,Choose correct effect,Each effect has specific use case,Right effect for the situation,LaunchedEffect for everything,"LaunchedEffect, DisposableEffect, SideEffect",LaunchedEffect for all side effects,Medium,
29,Performance,Avoid unnecessary recomposition,Minimize recomposition scope,Stable types and remember,Unstable parameters,remember derivedStateOf,Lambdas recreated every frame,High,https://developer.android.com/jetpack/compose/performance
30,Performance,Use key in lists,Stable item identity,key lambda in items,Index as implicit key,items(items key = { it.id }),items(items) without key,High,
31,Performance,Use @Stable and @Immutable,Mark stable types,@Immutable for data classes,Mutable data in state,@Immutable data class User,data class User(var name),Medium,
32,Performance,Read state in correct scope,Read state where needed,Read state in lambda,Read state in parent,Text(text = viewModel.text.collectAsState().value),val text outside composable,Medium,
33,Lists,Use items with key,Unique keys for list items,key parameter for stability,No key for dynamic lists,items(items key = { it.id }) { },items(items) { },High,
34,Lists,Use contentPadding in LazyColumn,Padding for scrollable content,contentPadding for inner padding,Padding on LazyColumn,LazyColumn(contentPadding = PaddingValues(16.dp)),LazyColumn(Modifier.padding(16.dp)),Medium,
35,Lists,Handle empty states,Show empty state UI,Conditional UI for empty lists,Blank screen for empty data,if (items.isEmpty()) EmptyView(),No empty state handling,Medium,
36,Images,Use Coil or Glide,Async image loading libraries,Coil for image loading,Manual image fetching,AsyncImage(model = url),Bitmap loading in composable,Medium,https://coil-kt.github.io/coil/compose/
37,Images,Specify contentScale,Control image scaling,contentScale parameter,Stretched images,contentScale = ContentScale.Crop,No contentScale specified,Low,
38,Images,Use placeholder and error,Loading and error states,placeholder and error composables,No loading indicator,placeholder { CircularProgressIndicator() },No placeholder,Medium,
39,Theming,Create custom theme,App-specific theme system,Custom MaterialTheme wrapper,Material colors directly,MyAppTheme { } wrapping MaterialTheme,MaterialTheme with inline colors,Medium,
40,Theming,Use Color Shape Typography,Theme components,Define custom color schemes,Hard-coded design tokens,lightColorScheme(primary = ),Color.Blue everywhere,Medium,
41,Theming,Support dark mode,Light and dark themes,isSystemInDarkTheme for theme switching,Light theme only,if (isSystemInDarkTheme()) darkColors else lightColors,Light theme hardcoded,High,
42,Animation,Use animateAsState,Simple value animations,animate*AsState for simple animations,Manual animation logic,val alpha by animateFloatAsState(if (visible) 1f else 0f),Manual alpha calculation,Low,https://developer.android.com/jetpack/compose/animation
43,Animation,Use AnimatedVisibility,Enter and exit animations,AnimatedVisibility for show/hide,Conditional with no animation,AnimatedVisibility(visible) { },if (visible) { },Low,
44,Animation,Use updateTransition,Complex multi-value animations,Transition for coordinated animations,Multiple animateAsState,val transition = updateTransition(),Separate animations without coordination,Medium,
45,Gestures,Use Modifier.clickable,Standard click handling,clickable for click events,Manual pointer input for clicks,Modifier.clickable { },Modifier.pointerInput for simple clicks,Low,
46,Gestures,Use Modifier.pointerInput,Custom gesture detection,pointerInput for complex gestures,clickable for drag/swipe,Modifier.pointerInput { detectDragGestures },clickable for swipe,Medium,https://developer.android.com/jetpack/compose/touch-input/pointer-input
47,Gestures,Provide haptic feedback,Tactile response for actions,performHapticFeedback,No feedback on important actions,LocalHapticFeedback.current.performHapticFeedback(),No haptic feedback,Low,
48,Accessibility,Add contentDescription,Describe images and icons,contentDescription for semantics,Missing content descriptions,Icon(contentDescription = "Menu"),Icon without contentDescription,High,https://developer.android.com/jetpack/compose/accessibility
49,Accessibility,Use semantics modifiers,Semantic information for TalkBack,Modifier.semantics for accessibility,No semantic information,Modifier.semantics { contentDescription = },No semantics properties,High,
50,Accessibility,Support text scaling,Respect user font size,sp for text sizes,dp for text sizes,fontSize = 16.sp,fontSize = 16.dp,High,
51,Accessibility,Ensure touch targets,Minimum 48dp touch targets,Use minimumInteractiveComponentSize,Small touch areas,Modifier.size(48.dp),Modifier.size(24.dp) for buttons,Medium,
52,Testing,Use Compose Testing,Official testing library,createComposeRule for UI tests,Manual testing only,composeTestRule.setContent { },No automated tests,Medium,https://developer.android.com/jetpack/compose/testing
53,Testing,Use semantic matchers,Find elements by semantics,onNodeWithText onNodeWithContentDescription,Find by implementation details,onNodeWithText("Login"),onNode(hasClickAction()),Medium,
54,Testing,Test state changes,Verify UI updates,Assert after state change,Only test initial state,composeTestRule.onNodeWithText().assertExists(),No state change tests,Medium,
55,Resources,Use string resources,Externalize strings,stringResource for text,Hard-coded strings,Text(stringResource(R.string.title)),Text("Title"),Medium,https://developer.android.com/jetpack/compose/resources
56,Resources,Use dimension resources,Externalize dimensions,dimensionResource for spacing,Magic numbers,.padding(dimensionResource(R.dimen.padding)),.padding(16.dp),Low,
57,Interop,Use AndroidView for Views,Embed Android Views,AndroidView for legacy views,Rewrite everything immediately,AndroidView { context -> TextView(context) },Force migrate all at once,Medium,https://developer.android.com/jetpack/compose/migrate/interoperability-apis/views-in-compose
58,Interop,Use ComposeView in XML,Embed Compose in Views,ComposeView for incremental migration,All-or-nothing migration,<androidx.compose.ui.platform.ComposeView>,Rewrite entire app at once,Medium,
59,Architecture,Use unidirectional data flow,Events up state down,ViewModel emits state receives events,Bidirectional data binding,onClick = { viewModel.onEvent() },viewModel.mutableState in UI,High,
60,Architecture,Handle configuration changes,Survive rotation and process death,ViewModel for state survival,Activity state for critical data,ViewModel holds UI state,Activity variables for state,High,
61,Coroutines,Use structured concurrency,Proper coroutine lifecycle,viewModelScope for ViewModel,GlobalScope for ViewModel work,viewModelScope.launch { },GlobalScope.launch { },High,https://developer.android.com/kotlin/coroutines
62,Coroutines,Handle errors in coroutines,Try-catch in coroutines,Error handling in coroutines,Unhandled exceptions,try { } catch (e: Exception) { },No error handling in launch,High,
